corpus,sentence_idx,word_position,word,L1,surprisal,log_freq,word_length,h_TRT,h_FFD,h_Gaze,h_Skip
geco_test,0,0,I,43.42200469970703,7.571110725402832,14.52773902728693,1,183.5,183.5,183.5,0.8571428571428571
geco_test,0,1,will,76.40575408935547,3.79988694190979,11.592715833116516,4,232.6,116.6,157.6,0.6428571428571429
geco_test,0,2,therefore,52.7614860534668,9.689786911010742,6.964135612418245,9,300.5833333333333,224.58333333333334,259.3333333333333,0.14285714285714285
geco_test,0,3,briefly,43.11470031738281,9.481689453125,5.093750200806762,7,421.0,231.0,314.14285714285717,0.5
geco_test,0,4,set,72.44648742675781,6.997629642486572,9.376278449519614,3,275.7142857142857,198.71428571428572,213.14285714285714,0.5
geco_test,0,5,down,61.29793930053711,4.035419940948486,11.238541249462422,4,249.22222222222223,193.55555555555554,221.44444444444446,0.35714285714285715
geco_test,0,6,the,48.0070686340332,1.3780641555786133,14.22224685776581,3,161.2,161.2,161.2,0.6428571428571429
geco_test,0,7,circumstances,48.84423065185547,4.800719261169434,7.064759027791802,13,261.2857142857143,207.92857142857142,261.2857142857143,0.0
geco_test,0,8,which,53.434959411621094,2.543288469314575,10.099835281063175,5,303.375,284.0,284.0,0.42857142857142855
geco_test,0,9,led,66.21385192871094,0.5241159796714783,7.110696122978827,3,207.8,207.8,207.8,0.6428571428571429
geco_test,0,10,to,42.586673736572266,0.4818715453147888,13.960969286275443,2,194.0,194.0,194.0,0.5714285714285714
geco_test,0,11,my,61.61687088012695,1.4860223531723022,12.751006899529601,2,284.0,259.6,259.6,0.6428571428571429
geco_test,0,12,being,42.1238899230957,2.73018741607666,10.117832509493988,5,380.8888888888889,222.11111111111111,250.11111111111111,0.35714285714285715
geco_test,0,13,connected,77.8187255859375,7.224391460418701,6.78105762593618,9,309.2857142857143,200.57142857142858,212.64285714285714,0.0
geco_test,0,14,with,35.442893981933594,0.06785732507705688,12.458639067517554,4,187.71428571428572,169.42857142857142,187.71428571428572,0.5
geco_test,0,15,the,50.380287170410156,0.7223730683326721,14.22224685776581,3,200.0,146.4,146.4,0.6428571428571429
geco_test,0,16,affair,61.05674362182617,5.576900959014893,7.31455283232408,6,511.9166666666667,244.33333333333334,395.1666666666667,0.14285714285714285
geco_test,1,0,I,43.42102813720703,7.571108818054199,14.52773902728693,1,267.0,207.0,207.0,0.42857142857142855
geco_test,1,1,had,94.10015106201172,4.151028156280518,11.355944115909688,3,274.2,223.6,223.6,0.2857142857142857
geco_test,1,2,been,65.76268768310547,3.1448893547058105,11.39158234974406,4,300.54545454545456,219.0909090909091,219.0909090909091,0.21428571428571427
geco_test,1,3,invalided,98.31421661376953,12.913795255124569,1.791759469228055,9,1063.357142857143,216.85714285714286,388.14285714285717,0.0
geco_test,1,4,home,64.6290054321289,2.6329686641693115,10.583828076826626,4,570.6,271.1,332.5,0.2857142857142857
geco_test,1,5,from,71.13607788085938,1.0303845405578613,11.552069252087856,4,435.25,224.0,234.25,0.14285714285714285
geco_test,1,6,the,55.96630859375,0.5309137105941772,14.22224685776581,3,196.0,129.33333333333334,129.33333333333334,0.7857142857142857
geco_test,1,7,Front,47.99245071411133,3.3332250118255615,9.133351330448047,5,307.2857142857143,255.57142857142858,266.64285714285717,0.0
geco_test,1,8,and,43.38777160644531,2.6731743812561035,13.433927978319357,3,271.55555555555554,163.77777777777777,213.33333333333334,0.35714285714285715
geco_test,1,9,after,77.38902282714844,5.899109363555908,10.457717433909405,5,223.0,223.0,223.0,0.35714285714285715
geco_test,1,10,spending,88.09440612792969,4.853728033602238,7.142036574706803,8,484.8181818181818,245.0,372.45454545454544,0.21428571428571427
geco_test,1,11,some,63.43517303466797,1.9976032972335815,11.38610294601307,4,422.4,341.4,341.4,0.6428571428571429
geco_test,1,12,months,50.072994232177734,2.637127637863159,9.025696119812583,6,386.09090909090907,331.3636363636364,372.6363636363636,0.21428571428571427
geco_test,1,13,in,51.334041595458984,1.1173467636108398,13.119246525062723,2,149.83333333333334,145.16666666666666,145.16666666666666,0.5714285714285714
geco_test,1,14,a,52.406288146972656,1.6147624254226685,13.855864282863422,1,173.6,173.6,173.6,0.6428571428571429
geco_test,1,15,rather,64.98312377929688,7.896575450897217,8.669914278433902,6,386.57142857142856,196.57142857142858,386.57142857142856,0.5
geco_test,1,16,depressing,74.37056732177734,4.194324164651334,5.780743515792329,10,293.3636363636364,184.72727272727272,200.1818181818182,0.21428571428571427
geco_test,1,17,Convalescent,110.98626708984375,6.596820478793234,2.833213344056216,12,843.9090909090909,265.1818181818182,591.8181818181819,0.21428571428571427
geco_test,1,18,Home,31.899248123168945,0.5876164436340332,10.583828076826626,4,258.5,192.75,207.0,0.42857142857142855
geco_test,1,19,was,56.412635803222656,4.636688232421875,12.572072477248573,3,245.25,193.5,245.25,0.7142857142857143
geco_test,1,20,given,80.29183197021484,4.379651069641113,8.486940148245216,5,261.44444444444446,165.55555555555554,212.55555555555554,0.35714285714285715
geco_test,1,21,a,60.964881896972656,0.921977698802948,13.855864282863422,1,247.5,174.5,174.5,0.8571428571428571
geco_test,1,22,months,55.81039810180664,9.356672286987305,9.025696119812583,6,533.3846153846154,243.30769230769232,284.61538461538464,0.07142857142857142
geco_test,1,23,sick,77.4891128540039,6.042768478393555,9.040382074165628,4,325.0,260.5,280.1,0.2857142857142857
